Translate,en,kr,vi
MESSAGES.COMPANY_EXIST,Company already existed,회사가 이미 존재합니다.,Công ty này thực sự đã tồn tại
MESSAGES.ORDER_NOT_FOUND,No order found,주문을 찾을 수 없습니다.,Không tìm thấy đơn hàng
MESSAGES.DRIVER_NOT_FOUND,No driver found,배송기사를 찾을 수 없습니다.,Không tìm thấy tài xế
MESSAGES.TRUCK_NOT_FOUND,No truck found,트럭을 찾을 수 없습니다.,Không tìm thấy xe
MESSAGES.PHONE_EXIST,Phone number already existed,전화번호가 이미 존재합니다.,Số điện thoại thực sự đã tồn tại
MESSAGES.EXISTED,Email is already existed,이메일이 이미 존재합니다.,Email thực sự đã tôn tại
MESSAGES.TRUCK_OWNER_NOT_FOUND,No truck owner found,검색된 트럭 사업자가 없습니다.,Không tìm thấy chủ xe nào
MESSAGES.ALREADY_FAVORITED,This truck Operator already added!,이 트럭 사업자는 이미 추가되었습니다.,Chủ xe này thực sự đã được thêm!
MESSAGES.CREATE_ORDER_ERROR,Cannot create order,주문을 생성할 수 없습니다.,Không thể tạo đơn hàng
MESSAGES.NOT_ASSIGNED,Order is not assigned by truck owners,주문이 아직 트럭 사업자에게 배정되지 않았습니다.,Đơn hàng chưa được các chủ xe đồng ý
MESSAGES.DELETED_ACCOUNT,"Account has been deleted, contact TADA for support!",계정이 삭제되었습니다. TADA에 연락하십시오!,"Tài khoản của bạn đã bị xóa, liên hệ Tada để được hổ trợ"
MESSAGES.DRIVER_ALREADY_ADDED,This driver already added by other truck owner,이 배송기사는 다른 트럭 사업자에 의해 이미 추가되었습니다.,Tài xế này thực sự đã được thêm bởi một chủ xe khác
MESSAGES.KICKED_OUT,"You have logged in somewhere else, try to relog",다른 곳에서 이미 로그인한 상태입니다. 다시 시도해 주세요.,"Bạn đã đăng nhập ở một nơi khác, vui lòng thử đăng nhập lại"
MESSAGES.WRONG_PHONE_NUMBER_FORMAT,Wrong phone format,전화 번호 형식이 올바르지 않습니다.,Định dạng số điện thoại sai
MESSAGES.PHONE_INPUT_TOO_LONG,Phone number too long,전화 번호가 너무 깁니다.,Số điện thoại quá dài
MESSAGES.TAKEN,Order already taken by other truck owner!,주문이 다른 트럭 사업자에게 이미 접수되었습니다!,Đơn hàng đã được lấy bởi một chủ xe khác!
MESSAGES.TOKEN_ERROR,Token is not found or cannot be parsed,토큰을 찾을 수 없습니다,Token không thể tìm thấy
MESSAGES.ORDER_PERMISSION,You do not have permission for this order,이 주문에 대한 권한이 없습니다.,Bạn không có quyền trên đơn hàng này
MESSAGES.LACK_DRIVER_OR_TRUCK,Lack of driver or truck!,배송기사나 트럭이 부족합니다.,Thiếu tài xế hoặc xe tải!
MESSAGES.FINDNEWTRUCK_ERROR_STATUS,Your orders have to be already assigned for finding new truck,주문이 새로 찾은 트럭 사업자에게 이미 배정되었습니다.,Đơn hàng của bạn thật sự đã được đồng ý bởi chủ xe mới
MESSAGES.NOT_VERIFIED,"To take order you need to verified your account, contact TADA for support","주문을 위해 계정을 인증해 주세요. 도움이 필요하시면, TADA에 연락 주세요.","Để lấy đơn hàng bạn cần xác thực tài khoản, liên hệ Tada để được hổ trợ"
MESSAGES.FOLDER_NOT_EXISTED,Folder is not existed,폴더가 존재하지 않습니다.,Thư mục không tồn tại
MESSAGES.COMPANY_NOT_EXISTED,Company does is not exist,회사가 존재하지 않습니다.,Công ty này không tồn tại
MESSAGES.DRIVER_EXISTED,Driver is existed,배송기사가 존재합니다.,Tài xế thực sự đã tồn tại
MESSAGES.CUSTOMER_CANCEL_ORDER,You do not allow to cancel this order due to its status,주문의 현재 상태에서는 주문을 취소할 수 없습니다.,Không thể hủy đơn hàng này. Vui lòng liên hệ Tada!
MESSAGES.DRIVER_CANCEL_ORDER,"You do not allow to cancel this order, please contact with TADA!",주문을 취소할 수 없습니다. TADA에 연락 주세요!,Không thể hủy đơn hàng này. Vui lòng liên hệ Tada!
MESSAGES.ORDER_CANCELED,This order is already canceled,주문이 취소되었습니다.,Đơn hàng này thực sự đã bị hủy
MESSAGES.EMAIL_NOT_VERIFY,Email is not verified,이메일이 미인증 상태입니다.,Email chưa xác thực
MESSAGES.PHONE_OTP_VERIFY,Phone OTP not verified,OTP 인증이 이루어지지 않았습니다.,Mã OTP của điện thoại không được xác thực
MESSAGES.INCORRECT_OTP,Incorrect OTP,OTP가 올바르지 않습니다.,Mã OTP không đúng
MESSAGES.OTP_EXPIRED,OTP expired,OTP가 만료되었습니다.,Mã OTP đã hết hạng
MESSAGES.PHONE_NOT_EXIST,Phone number does not exist,전화번호가 존재하지 않습니다.,Số điện thoại không tồn tại
MESSAGES.PICKUP_CODE_INCORRECT,Pickup code is incorrect!,상차 코드가 올바르지 않습니다.,Mã lấy hàng không đúng!
MESSAGES.DELIVERY_CODE_INCORRECT,Delivery code is incorrect!,배송 코드가 올바르지 않습니다.,Mã nhận hàng không đúng!
MESSAGES.ADMIN_NOT_FOUND,Admin not found,관리자를 찾을 수 없습니다.,Không tìm thấy tài khoản quản trị viên
MESSAGES.CUSTOMER_NOT_FOUND,Customer not found,고객을 찾을 수 없습니다.,Không tìm thấy khách hàng
MESSAGES.EMPLOYEE_NOT_FOUND,Employee not found,직원을 찾을 수 없습니다.,Không tìm thấy nhân viên
MESSAGES.EMAIL_NOT_FOUND,Email not found,이메일을 찾을 수 없습니다.,Không tìm thấy email
MESSAGES.SERVICE_TYPE_OR_ORDER_TYPE,"Service type, Order type are required","서비스 유형, 주문 유형은 필수 입력사항입니다.","Loại xe, loại đơn hàng là thông tin bắt buộc"
MESSAGES.DETAIL_REQUIRED,Your detail request is required,세부 요청사항을 입력해 주세요.,Yêu cầu chi tiết của bạn là thông tin bắt buộc
MESSAGES.CARGO_TYPE_OR_NAME,"Cargo type, Cargo description are required","화물 유형, 화물 상세는 필수 입력사항입니다.","Loại hàng hóa, Mô tả hàng hóa là thông tin bắt buộc"
MESSAGES.TRUCK_SPECIAL_OR_QUANTITY,"Truck type, Truck quantity are required","트럭 유형, 트럭 수량은 필수 입력사항입니다.","Loại xe tải, số lương xe là thông tin bắt buộc"
MESSAGES.CONTAINER_REQUIRED,"Container size, Container type, Container quantity are required","컨테이너 크기, 컨테이너 유형, 컨테이너 수량은 필수 입력사항입니다.","Kích cỡ công, Loại công, Số lượng công là thông tin bắt buộc"
MESSAGES.SUPPER_EXIST,Supper admin already existed,상위 관리자가 이미 존재합니다.,Tài khoản quản trị thật sự đã tồn tại
MESSAGES.REDIRECT_WARNING,"You haven’t completed your new order yet. If you move to another page, all the new order’s information will be lost. Do you want to continue?",아직 새 주문을 완료하지 않았습니다. 다른 페이지로 이동하면 모든 새 주문 정보가 손실됩니다. 계속 하시겠습니까?,"Bạn vẫn chưa hoàn thành đơn đặt hàng của mình. Nếu bạn chuyển sang trang khác, tất cả thông tin của đơn đặt hàng mới sẽ bị mất. Bạn có muốn tiếp tục?"
MESSAGES.DOCUMENT_SIZE,Document size < 3MB,문서 크기 < 3MB,Kích thước tài liệu < 3MB
MESSAGES.DOCUMENT_SIZE_LIMIT,Upload Document (size < 3Mbs) (< 4 files),문서 등록 (크기 < 3Mbs) (< 4 파일),Tải tài liệu (kích thước < 3Mbs) (< 4 tài liệu)
MESSAGES.PROPOSED_PRICE,Proposed price,제안 가격,Giá đề xuất
MESSAGES.INCORRECT_IMPORT_DATA,The data formart incorrect,,
MESSAGES.PICKUP_DROPOFF_NOT_FOUND,Pickup address and Dropoff address are required,Pickup address and Dropoff address are required,"Địa chỉ giao, nhận là thông tin bắt buộc"
MESSAGES.MONTHLY_LIMIT_REACH,Monthly limit order almost run out. Remaining:,Monthly limit order almost run out. Remaining:,Số lượng đơn hàng giới hạn trong tháng đã hết. Còn lại:
MODAL.CONFIRM,Confirmation,확인,Xác nhận
MODAL.CANCEL_ORDER,Confirmation,확인,Xác nhận
ONEPAGE.CUSTOMER_TITLE,TADA Truck for Customer,화주 고객용 TADA Truck,TADA Truck dành cho khách hàng
ONEPAGE.TRUCKOWNER_TITLE,TADA Truck for Truck Owner,트럭 사업자용 TADA Truck,TADA Truck dành cho chủ xe
ONEPAGE.ADMIN_TITLE,Admin Panel,관리자 패널,TADA Truck dành cho quản trị
MONTH.1,January,1월,Tháng Một
MONTH.2,February,2월,Tháng Hai
MONTH.3,March,3월,Tháng Ba
MONTH.4,April,4월,Tháng Bốn
MONTH.5,May,5월,Tháng Năm
MONTH.6,June,6월,Tháng Sáu
MONTH.7,July,7월,Tháng Bảy
MONTH.8,August,8월,Tháng Tám
MONTH.9,September,9월,Tháng Chín
MONTH.10,October,10월,Tháng Mười
MONTH.11,November,11월,Tháng Mười một
MONTH.12,December,12월,Tháng Mười hai
REPORT.CUSTOMER_REPORT_TITLE,Reports & Statistics,고객 리포트,Báo cáo & Thống kê
REPORT.MONTH_SELECTION,Month,월,Tháng
REPORT.YEAR_SELECTION,Year,연도,Năm
REPORT.COMPLETED,Completed,완료,Đã hoàn thành
REPORT.PENDING,Pending,대기,Đang xử lý
REPORT.CANCELLED,Cancelled,취소 완료,Đã hủy
REPORT.TITLE_OF_ORDER_CHART,Order Summary,주문 요약,Thống kê đơn hàng
REPORT.TITLE_OF_TRUCKOWNER_CHART,completed order per customer,트럭 기사 별 완료된 운행,Đơn hoàn thành theo khách hàng
REPORT.TITLE_OF_CUSTOMER_CHART,Completed trip per truckowner,고객 별 완료트립 수,Hoàn thành theo chủ xe
USER_ROLE.ADMIN,Admin,관리자 계정,Quản trị viên
USER_ROLE.CUSTOMER,Customer,고객,Khách hàng
USER_ROLE.TRUCK_OWNER,Truck Owner,트럭 사업자,Chủ xe
USER_ROLE.DRIVER,Driver,배송기사,Tài xế
ADDRESS.TITLE,Address Book,주소록,Danh Bạ
ADDRESS.LOCATION_TYPE,Location Type,장소 유형,Loại địa điểm
ADDRESS.CHOOSE_LOCATION_TYPE,Choose Location Type,장소 유형 선택,Chọn loại địa điểm
ADDRESS.LOCATION_NAME,Location Name,위치명,Tên địa điểm
ADDRESS.LOCATION_ADDRESS,Location Address,위치 주소,Địa Chỉ
ADDRESS.PERSON_INCHARGE_NAME,Person In Charge,담당자,Người phụ trách
ADDRESS.COMPANY,Company/ Enitity Name,회사 및 법인명,Tên Công ty
ADDRESS.NEW,New Address Entity,새 법인 주소,Địa chỉ liên lạc mới
ADDRESS.EDIT,Edit Address Entity,법인 주소 수정,Chỉnh sửa địa chỉ liên lạc
ADDRESS.PERSON_INCHARGE_NO,Contact NO,연락처,SĐT
ADDRESS.CHOOSE_FROM,Choose from address book,주소록에서 선택,Chọn từ danh bạ
ADDRESS.NOT_VALID,You are using addresses that don't match with Google Map address. You might not be able to track the order with these addresses,Google 지도 주소와 일치하지 않는 주소를 사용하고 있습니다. 이 주소로 주문을 추적하지 못할 수도 있습니다.,Bạn đang sử dụng địa chỉ không trùng khớp với Google Map. Nếu tiếp tục bạn sẽ không thể theo dõi lộ trình chính xác của đơn hàng này
DEFAULT.TITLE,Default Preference Settings,기본 환경 설정,Cài đặt thông tin mặc định
DEFAULT.TRANSPORT_TITLE,Type of transportation,운송 유형,Loại phương tiện
DEFAULT.PAYLOAD_TITLE,Truck Payload,트럭 탑재량,Tải trọng xe
DEFAULT.TRUCK_TYPE_ANY,Any Truck Type,모든 트럭 유형,Loại xe bất kì
DEFAULT.TRUCK_PAYLOAD_ANY,Any Truck Payload,모든 트럭 탑재량,Bất kì
DEFAULT.TRUCK_PAYLOAD_LESS_THAN_ONE,<1 ton,<1 톤,<1 tấn
DEFAULT.TRUCK_PAYLOAD_ONE_TO_TWO,1 - 2 tons,1 - 2 톤,1-2 tấn
DEFAULT.TRUCK_PAYLOAD_TWO_TO_THREE,2 -3 tons,2 - 3 톤,2 -3 tấn
DEFAULT.TRUCK_PAYLOAD_THREE_TO_FOUR,3 - 4 tons,3 - 4 톤,3 - 4 tấn
DEFAULT.TRUCK_PAYLOAD_FOUR_TO_FIVE,4 - 5 tons,4 - 5 톤,4 - 5 tấn
DEFAULT.TRUCK_PAYLOAD_FIVE_TO_SIX,5-6 tons,5 - 6 톤,5-6 tấn
DEFAULT.TRUCK_PAYLOAD_SIX_TO_EIGHT,6-8 tons,6 - 8 톤,6-8 tấn
DEFAULT.TRUCK_PAYLOAD_EIGHT_TO_TEN,8-10 tons,8 - 10 톤,8-10 tấn
DEFAULT.TRUCK_PAYLOAD_TEN_TO_FIFTEEN,10-15 tons,10 - 15 톤,10-15 tấn
DEFAULT.TRUCK_PAYLOAD_FIFTEEN_TO_TWENTY,15-20 tons,15 - 20 톤,15-20 tấn
DEFAULT.TRUCK_PAYLOAD_TWENTY_TO_TWENTY_FIVE,20-25 tons,20 - 25 톤,20-25 tấn
DEFAULT.TRUCK_PAYLOAD_TWENTY_FIVE_TO_THIRTY,25-30 tons,25 - 30 톤,25-30 tấn
DEFAULT.TRUCK_PAYLOAD_MORE_THAN_THIRTY,>30 tons,>30 톤,>30 tấn
DEFAULT.TRUCK_PAYLOAD_ONE,1 ton,1 톤,1 ton
DEFAULT.TRUCK_PAYLOAD_TWO,2 tons,2 톤,2 tons
DEFAULT.TRUCK_PAYLOAD_THREE,3 tons,3 톤,3 tons
DEFAULT.TRUCK_PAYLOAD_FOUR,4 tons,4 톤,4 tons
DEFAULT.TRUCK_PAYLOAD_FIVE,5 tons,5 톤,5 tons
DEFAULT.TRUCK_PAYLOAD_SIX,6 tons,6 톤,6 tons
DEFAULT.TRUCK_PAYLOAD_EIGHT,8 tons,8 톤,8 tons
DEFAULT.TRUCK_PAYLOAD_TEN,10 tons,10 톤,10 tons
DEFAULT.TRUCK_PAYLOAD_FIFTEEN,15 tons,15 톤,15 tons
DEFAULT.TRUCK_PAYLOAD_TWENTY,20 tons,20 톤,20 tons
DEFAULT.TRUCK_PAYLOAD_TWENTY_FIVE,25 tons,25 톤,25 tons
DEFAULT.TRUCK_PAYLOAD_THIRTY,30 tons,30 톤,30 tons
DEFAULT.PERSON_INCHARGE,Main Person in charge,주요 담당자,Người phụ trách chính
DEFAULT.PERSON_INCHARGE_NO,Main person NO,주요 담당자 번호,SĐT người phụ trách
DEFAULT.PICKUP_LOCATION,Pick up Location,상차지,Địa chỉ nhận hàng
DEFAULT.DROPOFF_LOCATION,Drop off Location,하차지,Địa chỉ giao hàng
DEFAULT.PICKUP_INFO,Default Pick up info,기본 상차 정보,Thông tin nhận hàng mặc định
DEFAULT.DROPOFF_INFO,Default Drop off info,기본 하차 정보,Thông tin giao hàng mặc định
DEFAULT.CHOOSE_TYPE_LABEL,Choose Truck Type,트럭 유형 선택,Chọn loại xe tải
DEFAULT.CHOOSE_PAYLOAD_LABEL,Choose Payload,탑재량 선택,Chọn tải trọng
DEFAULT.CHOOSE_TRANSPORT_LABEL,Choose Type of transportation,운송 유형 선택,Chọn phương tiện di chuyển
DEFAULT.CHOOSE_TRUCK_LOAD_LABEL,Input Truck Load,트럭 부하 입력,Nhập tải trọng
DEFAULT.MINI_VAN,Mini-Van,미니밴,Xe tải nhỏ
DEFAULT.TARPAULIN_COVER,Truck with tarpaulin cover,타포린 커버 트럭,Xe tải thùng mui bạt
DEFAULT.GRID_AND_TARPAULIN_COVER,Truck with grid and tarpaulin cover,그리드 및 타포린 커버 트럭,Xe tải thùng khung mui bạt
DEFAULT.WING_BODY,Truck with wing-body,윙바디 트럭,Xe tải thùng bạt cánh dơi
DEFAULT.FOR_RETAILER,Truck for retailer,소매업용 트럭,Xe tải bán hàng lưu động
DEFAULT.WITHOUT_BODY,Truck without body,차체없는 트럭,Xe tải không thùng
DEFAULT.DUMP_TRUCK,Dump truck,덤프 트럭,Xe ben
DEFAULT.TANK_TRUCK,Tank truck,탱크 트럭,Xe bồn
DEFAULT.WITH_LIFT,Truck with lift,리프트 트럭,Xe gắn cẩu
DEFAULT.MEZZAN,Mezzanine van,메 자닌 밴,Xe tải thùng lửng
DEFAULT.FREEZING_BODY,Truck with freezing body,냉동 트럭,Xe thùng bảo ôn (đông lạnh)
DEFAULT.CLOSED_BODY,Truck with closed body,폐쇄형 트럭,Xe tải thùng kín
DEFAULT.PAYMENT_TYPE_LABEL,Payment Type,결제 유형,Loại thanh toán
DEFAULT.PAYMENT_TITLE,Default Payment Setting,기본 결제 설정,Quản lý thanh toán
DEFAULT.INSTANT_CASH,Instant (Cash),즉시 (현금),Trả ngay (Tiền mặt)
DEFAULT.INSTANT_BANK,Instant (Bank transfer),즉시 (은행 송금),Trả ngay (Chuyển khoản)
DEFAULT.POST_PAID_15,Post Paid (15 days),후불 (15일),Trả sau (15 ngày)
DEFAULT.POST_PAID_30,Post Paid (30 days),후불 (30일),Trả sau (30 ngày)
DEFAULT.POST_PAID_45,Post Paid (45 days),후불 (45일),Trả sau (45 ngày)
DEFAULT.OTHER,Others,기타,Khác
DEFAULT.PAYMENT_TYPE_PLACEHOLDER,Choose Payment Type,결제 유형 선택,Chọn loại thanh toán
DEFAULT.ADDRESS_PLACEHOLDER,Address (as in Business license),주소 (사업자등록증),Địa chỉ ( trên giấy phép doanh nghiệp)
DEFAULT.COMPANY_PLACEHOLDER,Company name,회사명,Tên doanh nghiệp
DEFAULT.BUSSINESS_PLACEHOLDER,Business license NO,사업자등록번호,Mã số doanh nghiệp
DEFAULT.EMAIL_PLACEHOLDER,Emails (to send e-invoice),이메일 (전자 인보이스 발송용),Email nhận hoá đơn điện tử
BANK.COMPANY,Company name,회사명,Tên công ty
BANK.NAME,Bank Name,은행 이름,Tên ngân hàng
BANK.BRANCH,Bank Branch,은행 지점,Chi nhánh
BANK.OWNER,Bank Account Holder Name,은행 계좌 소유자 이름,Tên chủ tài khoản
BANK.NUMBER,Bank Account Number,은행 계좌 번호,Số tài khoản
BANK.BUSSINESS,Business license No,기업등록증 번호,Mã số doanh nghiệp
PRICING.TITLE,Pricing setting,가격 설정,Cài đặt giá
PRICING.ON_OFF,Turn ON/OFF settings,켜기 / 끄기 설정,Mở/ Tắt cài đặt
PRICING.BASE_FARE,Base Fare,기본 요금,Giá khởi điểm
PRICING.SAME_ZONE,Within the same zone,동일 구역 내,Trong cùng Khu vực
PRICING.PICKUP_AREA,Pick up zone area,상차 지역,Khu vực lấy hàng
PRICING.DROPOFF_AREA,Drop off zone area,하차 지역,Khu vực giao hàng
PRICING.PAYLOAD,Payload,탑재량,Tải trọng
PRICING.COST,Cost,요금,Chi phí
PRICING.INPUT_PLACEHOLDER,Input price,가격 입력,Nhập giá
PRICING.FROM,From,에서,Từ
PRICING.TO,To,로,Đến
PRICING.ZONE_NOT_APPLICABLE,(if zone charges are not applicable),(구역 요금이 적용되지 않는 경우),Nếu giá theo khu vực không áp dụng
PRICING.COST_PER_KM,Cost per km,km 별 요금,Giá trên mỗi km
PRICING.MULTIPLE_STOPS,Multiple stops,여러 정차,Nhiều điểm giao hàng
PRICING.SPECIAL_DANGEROUS_GOODS,Special/ Dangerous Goods,특수 및 위험물,Mặt hàng đặc biệt/ nguy hiểm
PRICING.HEAVY_CARGO,Heavy cargo Load >,무거운 물건,Hàng nặng >
PRICING.PRICE_OPTION,Price option,가격 옵션,"Cách tính giá (tỉ lệ %, giá trị tuyệt đối)"
PRICING.DYNAMIC_ITEMS_TITLE,Other Dynamic Charges,기타 비용,Các chi phí động khác
PRICING.USE_THIS_SETTING,Use this setting,이 설정 사용,Sử dụng Cài đặt này
PRICING.ZONE_FARE_LABEL,Zone Charges,구역 요금,Giá theo khu vực
PRICING.ZONE_FARE_INFO,"Adjust the base fare based on pickup and drop off zones. If zone based setting already applies, system will not apply distance based setting",픽업 및 하차 구역에 따라 기본 요금을 조정합니다. 구역 기반 설정이 이미 적용된 경우 시스템은 거리 기반 설정을 적용하지 않습니다.,"Điều chỉnh giá khởi điểm dựa trên khu vực lấy hàng và giao hàng. Nếu Cài đặt dựa trên Khu vực đã được áp dụng, hệ thống sẽ không áp dụng Cài đặt dựa trên Khoảng cách"
PRICING.DISTANCE_FARE_LABEL,Distance Charges,거리 요금,Giá theo quãng đường
PRICING.MULTIPLE_CHARGE,Multiple Stops Charges,다중 경유 요금,Giá theo nhiều điểm giao hàng
PRICING.PAYLOAD_FARE_LABEL,Adjust Base fare by Payload,탑재량 요금,Điều chỉnh giá khởi điểm theo Tải trọng
PRICING.PERCENTAGE,%,%,%
PRICING.VALUE,value,값,Giá trị
PRICING.BASE_FARE_PER_TRUCK_TYPE,Starting fare per Truck Type,트럭 유형 별 기본 가격,Giá khởi điểm theo loại xe
PRICING.DIFFERENT_ABOVE,(if different from above),(상기와 다를 경우),(cài đặt nếu khác bên trên)
PRICING.BASE_FARE_TRACTOR_LABEL,Starting fare for Trailor Tractor,트레일러 트럭터의 기본 가격,Giá khởi điểm cho Xe Containers
PRICING.BASE_FARE_NORMAL_LABEL,Starting fare for Normal Truck,일반 트럭의 기본 가격,Giá khởi điểm cho Xe Tải
PRICING.SURCHARGES,Surcharges,할증료,Phụ phí bổ sung
PRICING.COST_PER_STOP,Cost per stop,정차 당 비용,Phụ phí trên mỗi điểm giao hàng
PRICING.ZONE_CHARGES,Zone Charges,,Giá theo khu vực
PRICING.INVOICE_VAT,Invoice VAT,,Hóa đơn VAT
PRICING.CHOOSE_LOCATION,Choose location,위치 선택,Chọn địa điểm
IMPORTANT_NOTE.MENU_TITLE,Important Notes,,Thông tin quan trọng
IMPORTANT_NOTE.CONFIRM,Confirm,,Xác nhận
IMPORTANT_NOTE.NOT_SHOW_AGAIN,Don't show this again,,Không hiển thị lần sau
IMPORTANT_NOTE.READ_MORE,Read more,,Xem thêm
IMPORTANT_NOTE.SAME_ZONE,Within the same zone,,Trong cùng Khu vực
IMPORTANT_NOTE.PICKUP_AREA,Pick up zone area,,Khu vực lấy hàng
IMPORTANT_NOTE.DROPOFF_AREA,Drop off zone area,,Khu vực giao hàng
IMPORTANT_NOTE.PAYLOAD,Payload,,Payload
IMPORTANT_NOTE.COST,Cost,,Cost
IMPORTANT_NOTE.INPUT_PLACEHOLDER,Input price,,Nhập giá
IMPORTANT_NOTE.FROM,From,,Từ
IMPORTANT_NOTE.TO,To,,Đến
IMPORTANT_NOTE.ZONE_NOT_APPLICABLE,(if zone charges are not applicable),,Nếu giá theo khu vực không áp dụng
IMPORTANT_NOTE.COST_PER_KM,Cost per km,,Giá trên mỗi km
IMPORTANT_NOTE.MULTIPLE_STOPS,Multiple stops,,Nhiều điểm giao hàng
IMPORTANT_NOTE.SPECIAL_DANGEROUS_GOODS,Special/ Dangerous Goods,,Mặt hàng đặc biệt/ nguy hiểm
IMPORTANT_NOTE.HEAVY_CARGO,Heavy cargo Load >,,Hàng nặng >
IMPORTANT_NOTE.PRICE_OPTION,Price option,,"Cách tính giá (tỉ lệ %, giá trị tuyệt đối)"
IMPORTANT_NOTE.DYNAMIC_ITEMS_TITLE,Other Dynamic Charges,,Các chi phí động khác
IMPORTANT_NOTE.USE_THIS_SETTING,Use this setting,,Sử dụng Cài đặt này
IMPORTANT_NOTE.ZONE_FARE_LABEL,Zone Charges,,Giá theo khu vực
IMPORTANT_NOTE.ZONE_FARE_INFO,"Adjust the base fare based on pickup and drop off zones. If zone based setting already applies, system will not apply distance based setting",,"Điều chỉnh giá khởi điểm dựa trên khu vực lấy hàng và giao hàng. Nếu Cài đặt dựa trên Khu vực đã được áp dụng, hệ thống sẽ không áp dụng Cài đặt dựa trên Khoảng cách"
IMPORTANT_NOTE.DISTANCE_FARE_LABEL,Distance Charges,,Giá theo quãng đường
IMPORTANT_NOTE.PAYLOAD_FARE_LABEL,Payload Charge,,Điều chỉnh giá khởi điểm theo Tải trọng
IMPORTANT_NOTE.PERCENTAGE,%,,%
IMPORTANT_NOTE.VALUE,value,,Giá trị
IMPORTANT_NOTE.BASE_FARE_PER_TRUCK_TYPE,Starting fare per Truck Type,,Giá khởi điểm theo loại xe
IMPORTANT_NOTE.DIFFERENT_ABOVE,(if different from above),,(cài đặt nếu khác bên trên)
IMPORTANT_NOTE.BASE_FARE_TRACTOR_LABEL,Starting fare for Trailor Tractor,,Giá khởi điểm cho Xe Containers
IMPORTANT_NOTE.BASE_FARE_NORMAL_LABEL,Starting fare for Normal Truck,,Giá khởi điểm cho Xe Tải
IMPORTANT_NOTE.SURCHARGES,Surcharges,,Phụ phí bổ sung
IMPORTANT_NOTE.COST_PER_STOP,Cost per stop,,Phụ phí trên mỗi điểm giao hàng
IMPORTANT_NOTE.INVOICE_VAT,Invoice VAT,,Hóa đơn VAT
IMPORTANT_NOTE.VAT_INFORMATION,VAT information,,Thông tin VAT
SEARCH.ALL,Search All,모두 검색,Tất cả
SEARCH.MULTIPLE,Search By Fields,필드로 검색,Lọc theo
SETTINGS.LOGO,Logo,로고,Logo
SETTINGS.QR,QR img,QR 이미지,Hình ảnh QR
SETTINGS.QR_TEXT,QR label,QR 라벨,QR label
SETTINGS.FACEBOOK_LINK,Facebook link,페이스북 링크,Đường dẫn facebook
SETTINGS.FACEBOOK_TEXT,Facebook text,페이스북 문자,Nhãn facebook footer
SETTINGS.EMAIL,Email,이메일,Email
SETTINGS.PHONE_NUMBER,Phone number,전화 번호,Số điện thoại
SETTINGS.IMAGE_SIZE,"Image size < 3MB, (130px x 40px)","이미지 크기 < 3MB, (130px x 40px)","Kích thước < 3MB, (130px x 40px)"
SETTINGS.IMAGE_SIZE_QR,"Image size < 3MB, (36px x 36px)","이미지 크기 < 3MB, (130px x 40px)","kích thước < 3MB, (36px x 36px)"
SETTINGS.COMPANY_NAME,Brand name,브랜드 이름,Tên công ty
SETTINGS.YELLOW,Yellow,노랑색,Vàng
SETTINGS.PINK,Pink,핑크색,Hồng
SETTINGS.ORANGE,Orange,주황색,Cam
SETTINGS.GREEN,Green,초록색,Xanh lá
SETTINGS.BLUE,Blue,파랑색,Xanh da trời
SETTINGS.GREY,Grey,회색,Xám
SETTINGS.DARK_GREEN,Dark green,짙은 녹색,Xanh đen
SETTINGS.BLACK,Black,검정색,Đen
SETTINGS.DEFAULT_COLOR,Theme color,테마 색상,Màu chủ đạo
SETTINGS.CONT_20,Container 20,Container 20',Container 20'
SETTINGS.CONT_40,Container 40,Container 40',Container 40'
SETTINGS.CONT_45,Container 45,Container 45',Container 45'
SETTINGS.FOOTER,Footer contact infomation,,Thông tin footer
SETTINGS.THEME_AND_LOGO,Theme & Logo setting,,Cài đặt màu chủ đạo và logo
SETTINGS.ORDER_QUANTITY,Setting order quantity,,Cài đặt giới hạn số lượng đơn hàng
SETTINGS.MONTHLY_ORDER,Maximum order per calendar month,,Đơn hàng tối đa mỗi tháng
IMPORT.LABEL,Multiple order,Multiple order,Tạo nhiều đơn hàng
IMPORT.FROM_EXCEL,Upload from excel,Upload from excel,Đăng tải từ Excel
IMPORT.DOWNLOAD_TEMPLATE,Download multiple orders template,Download multiple orders template,Tải tệp mẫu cho Danh sách đơn hàng
IMPORT.UPLOAD,Upload your multiple orders file,Upload your multiple orders file,Đăng tải Danh sách đơn hàng
IMPORT.DRAG,Drag & Drop the excel file containing multiple orders infomation,Drag & Drop the excel file containing multiple orders infomation,Kéo và thả tệp excel chứa Danh sách đơn hàng
IMPORT.SELECT,Select file,Select file,Chọn tệp
IMPORT.DOWNLOAD_BUTTON,Download,Download,Tải về
IMPORT.TEMPLATE,Template,Template,Tệp mẫu
IMPORT.UPLOAD_BUTTON,Upload,Upload,Đăng tải
IMPORT.OR,—— OR ——,—— OR ——,—— HOẶC ——
PRICE_QUOTATION.TITLE,Price quotation setup,Price quotation setup,Price quotation setup
PRICE_QUOTATION.STANDARD_LICENSE,Standard license,Standard license,Standard license
PRICE_QUOTATION.PREMIUM_LICENSE,Premium license,Premium license,Premium license
PRICE_QUOTATION.NAME,Name,Name,Name
PRICE_QUOTATION.TO_CUSTOMER,To customer,To customer,To customer
